STATE,TARGET TYPE,ATTACK TYPE
Alabama,Business,Bombing/Explosion
Alaska,Private Citizens & Property,Facility/Infrastructure Attack
Arizona,Business,Facility/Infrastructure Attack
Arizona ,Business,Facility/Infrastructure Attack
Arkansas,Abortion Related,Facility/Infrastructure Attack
Caifornia ,Police,Armed Assault
California,Business,Bombing/Explosion
California ,Business,Armed Assault
Colorado,Private Citizens & Property,Bombing/Explosion
Connecticut,Business,Facility/Infrastructure Attack
Delaware,Abortion Related,Facility/Infrastructure Attack
District of Columbia,Government (General),Bombing/Explosion
Florida,Business,Bombing/Explosion
Georgia,Business,Armed Assault
Hawaii,Military,Facility/Infrastructure Attack
Idaho,Business,Bombing/Explosion
Illinois,Business,Bombing/Explosion
Indiana,Private Citizens & Property,Armed Assault
Iowa,Business,Bombing/Explosion
Kansas,Business,Bombing/Explosion
Kentucky,Private Citizens & Property,Armed Assault
Louisiana,Private Citizens & Property,Facility/Infrastructure Attack
Maine,Military,Facility/Infrastructure Attack
Maryland,Private Citizens & Property,Bombing/Explosion
Massachusetts,Religious Figures/Institutions,Bombing/Explosion
Michigan,Educational Institution,Facility/Infrastructure Attack
Minnesota,Abortion Related,Facility/Infrastructure Attack
Mississippi,Business,Facility/Infrastructure Attack
Missouri,Religious Figures/Institutions,Facility/Infrastructure Attack
Montana,Abortion Related,Facility/Infrastructure Attack
Nebraska,Utilities,Bombing/Explosion
Nevada,Government (General),Facility/Infrastructure Attack
New Hampshire,Business,Facility/Infrastructure Attack
New Jersey,Business,Facility/Infrastructure Attack
New Mexico,Abortion Related,Facility/Infrastructure Attack
New York,Business,Bombing/Explosion
North Carolina,Abortion Related,Facility/Infrastructure Attack
North Dakota,Abortion Related,Facility/Infrastructure Attack
Ohio,Abortion Related,Facility/Infrastructure Attack
Oklahoma,Abortion Related,Facility/Infrastructure Attack
Oregon,Business,Facility/Infrastructure Attack
Pennsylvania,Business,Armed Assault
Puerto Rico,Business,Bombing/Explosion
Rhode Island,Business,Bombing/Explosion
South Carolina,Religious Figures/Institutions,Facility/Infrastructure Attack
South Dakota,Abortion Related,Facility/Infrastructure Attack
Tennessee,Religious Figures/Institutions,Facility/Infrastructure Attack
Texas,Religious Figures/Institutions,Facility/Infrastructure Attack
Unknown,Business,Bombing/Explosion
Utah,Business,Facility/Infrastructure Attack
Virgin Islands,Military,Facility/Infrastructure Attack
Virginia,Business,Facility/Infrastructure Attack
Virginia ,Airports and Aircraft,Facility/Infrastructure Attack
Washington,Business,Bombing/Explosion
West Virginia,Abortion Related,Bombing/Explosion
Wisconsin,Business,Bombing/Explosion
Wyoming,Government (General),Facility/Infrastructure Attack
